finance_id,employee_id,department,payroll_cost,overtime_cost,productivity_cost_ratio
70,1070,Customer Support,132688,20750.65,1.0
71,1071,Customer Support,78938,13518.12,0.82
72,1072,HR,54862,5366.32,1.0
73,1073,Customer Support,77263,13424.41,1.17
74,1074,Finance,47279,7824.02,1.16
75,1075,Operations,41804,4067.28,0.79
76,1076,Operations,31702,2342.83,0.96
77,1077,Operations,108564,6740.43,0.9
78,1078,HR,113204,13688.88,0.81
79,1079,Technology,180393,15701.12,0.74
80,1080,Sales,55176,9991.46,1.06
81,1081,Technology,83104,5702.08,0.87
82,1082,Sales,66540,10108.55,0.96
83,1083,HR,49458,3212.62,0.87
84,1084,Technology,162980,25694.19,1.17
85,1085,Finance,39257,4073.39,1.11
86,1086,Finance,131325,20719.39,0.9
87,1087,Technology,83885,6975.61,1.15
88,1088,Operations,132312,19591.96,0.95
89,1089,Compliance,36247,6478.34,0.9
90,1090,Compliance,50438,3450.85,0.72
91,1091,Customer Support,38640,4769.58,1.24
92,1092,Sales,64499,3675.21,0.88
93,1093,Customer Support,154083,15731.86,1.23
94,1094,Finance,27018,1668.02,0.95
95,1095,Customer Support,27647,2433.82,0.91
96,1096,HR,116436,20049.91,0.81
97,1097,HR,122524,15302.24,1.28
98,1098,Compliance,41466,6403.84,0.73
99,1099,Compliance,106558,8750.96,0.89
100,1100,Finance,47970,9059.38,0.85
101,1101,Technology,26699,3700.64,1.16
102,1102,Customer Support,98507,17520.3,1.01
103,1103,Customer Support,68603,10464.32,1.18
104,1104,Compliance,52899,6697.82,1.02
105,1105,Technology,39412,7368.1,1.03
106,1106,Finance,33395,2526.36,0.82
107,1107,Finance,77442,8469.98,0.85
108,1108,Customer Support,135121,15977.47,0.88
109,1109,Technology,43989,2910.56,0.94
110,1110,Customer Support,109411,9224.01,1.27
111,1111,Technology,132998,8889.54,1.24
112,1112,Operations,184081,36709.47,0.96
113,1113,Sales,49030,8988.91,1.14
114,1114,Customer Support,189716,21539.55,0.9
115,1115,Compliance,61105,6197.11,0.86
116,1116,Operations,137548,20705.55,1.18
117,1117,Compliance,80683,14044.26,0.92
118,1118,Sales,59881,10125.15,0.93
119,1119,Operations,115202,6483.79,0.83
120,1120,Technology,60258,3965.66,1.14
121,1121,Sales,133064,18834.15,1.06
122,1122,Technology,69576,10530.98,1.11
123,1123,Technology,55842,8902.16,0.79
124,1124,Technology,105294,14231.78,0.98
125,1125,Finance,33370,5523.68,1.04
126,1126,Sales,160424,24977.94,0.95
127,1127,Sales,27621,1644.32,0.93
128,1128,Technology,115445,11438.6,1.06
129,1129,Customer Support,162034,9391.75,0.93
130,1130,Finance,27363,2975.04,1.11
131,1131,Sales,47277,6911.03,1.01
132,1132,HR,35471,6562.46,0.99
133,1133,Technology,63494,4186.49,0.95
134,1134,Technology,61380,10053.49,1.29
135,1135,Operations,116498,11011.14,1.1
136,1136,Operations,132883,25419.99,0.92
137,1137,Operations,37755,5224.9,0.9
138,1138,HR,28755,2787.68,1.16
139,1139,Customer Support,161504,28535.27,1.18
140,1140,Finance,87691,16891.25,1.21
141,1141,Operations,155569,23919.85,1.14
142,1142,Finance,27848,3768.17,1.26
143,1143,Technology,52552,5172.99,1.12
144,1144,Sales,37303,4524.91,0.91
145,1145,Sales,26031,2722.36,1.2
146,1146,Technology,40719,6281.09,0.87
147,1147,HR,150160,24177.31,0.91
148,1148,Compliance,62194,8952.8,1.29
149,1149,Compliance,59030,7441.13,1.18
150,1150,Customer Support,84923,16521.19,0.71
151,1151,Operations,26825,4069.62,1.02
152,1152,Customer Support,35993,2161.28,0.76
153,1153,Operations,38647,4758.86,0.85
154,1154,Operations,53493,7413.84,0.95
155,1155,Technology,108706,20647.12,1.0
156,1156,Operations,103335,6439.69,0.79
157,1157,Compliance,26462,3571.24,1.05
158,1158,Technology,44883,6352.16,1.29
159,1159,HR,27146,3811.11,0.85
160,1160,Operations,61556,4770.14,1.1
161,1161,Customer Support,97902,12138.53,0.83
162,1162,Compliance,189529,33299.35,0.92
163,1163,Finance,101672,7315.3,1.02
164,1164,HR,27986,4727.36,0.71
165,1165,Finance,172033,28560.02,1.07
166,1166,Sales,41120,3171.28,1.21
167,1167,Sales,57716,10159.02,0.73
168,1168,Sales,42316,8006.62,1.06
169,1169,Operations,113875,9533.88,0.93
170,1170,Sales,140590,16091.75,0.75
171,1171,Compliance,71920,5875.19,0.94
172,1172,Compliance,55711,3642.79,0.74
173,1173,HR,158931,28437.4,1.22
174,1174,Sales,44111,3642.96,1.29
175,1175,Compliance,33054,1793.06,0.83
176,1176,Sales,131526,12217.33,0.83
177,1177,Finance,110008,19851.32,0.89
178,1178,HR,102152,14415.41,0.83
179,1179,Compliance,88086,17164.97,1.12
180,1180,Sales,45595,3974.33,0.73
181,1181,HR,27792,4146.13,0.92
182,1182,Sales,174384,11671.09,0.82
183,1183,Sales,54746,2856.95,1.09
184,1184,Sales,34625,3517.51,1.11
185,1185,Operations,26313,1912.73,1.01
186,1186,Finance,75888,4296.04,1.11
187,1187,Finance,141694,7282.32,1.09
188,1188,Technology,173846,13676.43,0.81
189,1189,HR,76086,10155.75,0.77
190,1190,Finance,32522,5731.89,1.24
191,1191,Compliance,32681,3996.15,1.01
192,1192,Compliance,36629,4877.63,0.99
193,1193,Compliance,169430,23819.76,0.74
194,1194,Sales,188189,29609.97,1.16
195,1195,Operations,25969,4633.62,0.94
196,1196,Customer Support,186735,16625.9,1.14
197,1197,Compliance,50035,8249.96,1.18
198,1198,HR,122449,8458.05,0.96
199,1199,Technology,45488,6633.16,1.3
200,1200,HR,53947,7724.47,0.91
201,1201,Finance,56413,5050.43,1.05
202,1202,Customer Support,31447,6275.03,0.76
203,1203,Sales,58605,4579.34,1.1
204,1204,Operations,51999,4423.7,0.96
205,1205,Compliance,80110,11265.85,0.81
206,1206,HR,29725,1770.08,0.77
207,1207,Operations,106757,12946.27,0.91
208,1208,Customer Support,47342,9232.08,0.9
209,1209,Operations,99987,9458.55,0.86
210,1210,Finance,101954,20232.53,1.29
211,1211,Sales,90008,8469.24,0.72
212,1212,Compliance,30661,5278.92,1.16
213,1213,Sales,27563,4568.07,1.21
214,1214,Operations,134512,22241.49,0.9
215,1215,Compliance,169986,19577.81,1.01
216,1216,Compliance,84657,14650.08,0.71
217,1217,Technology,133631,14586.76,0.97
218,1218,Finance,132563,24058.95,0.74
219,1219,HR,197877,20645.39,1.15
220,1220,Compliance,96467,17565.61,1.26
221,1221,Compliance,63854,10219.32,1.07
222,1222,Compliance,32821,3869.17,0.96
223,1223,Finance,65268,6373.64,0.85
224,1224,Operations,129830,13697.09,1.05
225,1225,Finance,56673,7132.72,0.92
226,1226,Technology,25747,2001.08,0.88
227,1227,Compliance,91313,10454.91,0.81
228,1228,Customer Support,114212,15368.94,1.12
229,1229,Operations,61267,5549.81,1.0
230,1230,Finance,83054,8384.68,1.19
231,1231,Sales,99768,11262.12,0.85
232,1232,Sales,86835,12344.42,0.82
233,1233,HR,113647,15646.61,0.72
234,1234,Sales,137640,12898.39,1.21
235,1235,Sales,171401,32643.26,1.06
236,1236,Finance,36598,2109.08,0.81
237,1237,Finance,85307,5130.38,1.25
238,1238,HR,32436,5879.8,0.99
239,1239,Customer Support,39965,4164.01,0.77
240,1240,Technology,39576,6952.49,0.88
241,1241,Technology,65305,10518.54,1.24
242,1242,Finance,107888,14370.57,1.02
243,1243,HR,98290,12989.0,0.82
244,1244,Sales,104365,5905.98,1.12
245,1245,Finance,161330,28424.07,1.13
246,1246,Finance,110409,10414.48,1.13
247,1247,Finance,195859,25907.51,0.98
248,1248,Compliance,100149,18698.82,1.26
249,1249,Technology,60635,10586.24,1.16
250,1250,HR,169844,24558.57,0.84
251,1251,Compliance,39123,5257.63,1.0
252,1252,Compliance,83684,7497.8,1.07
253,1253,Compliance,102475,6750.67,0.84
254,1254,Finance,31327,4563.97,1.15
255,1255,HR,53558,8378.28,0.76
256,1256,Sales,43132,8260.69,1.29
257,1257,Compliance,139053,7942.24,1.1
258,1258,Operations,48884,6539.25,1.11
259,1259,HR,60739,5682.44,1.04
260,1260,Finance,29802,3237.28,1.0
261,1261,Operations,168406,33448.78,1.06
262,1262,Technology,31662,3442.78,1.19
263,1263,Operations,164178,17444.14,0.98
264,1264,Operations,63156,10361.85,0.8
265,1265,HR,101440,14704.5,0.79
266,1266,Compliance,25799,3511.42,1.12
267,1267,Operations,27582,3751.79,1.02
268,1268,Customer Support,99879,6420.06,1.18
269,1269,Operations,101735,7247.89,0.92
270,1270,Sales,163463,29556.45,1.25
271,1271,Compliance,41199,2798.19,0.71
272,1272,HR,164489,18129.63,1.04
273,1273,Technology,126541,24094.77,0.74
274,1274,Finance,112652,17167.96,0.98
275,1275,Finance,86208,8225.64,1.09
276,1276,Customer Support,116661,16819.19,1.07
277,1277,HR,67946,5097.53,0.83
278,1278,Operations,59059,7721.25,1.23
279,1279,Sales,56418,8601.11,1.18
280,1280,Customer Support,58307,6964.57,0.87
281,1281,HR,143561,8539.87,1.11
282,1282,Operations,44881,2909.45,1.05
283,1283,Finance,35233,5411.95,0.9
284,1284,Compliance,33832,2533.8,1.22
285,1285,Operations,77417,13113.48,1.25
286,1286,Technology,167135,30352.96,0.97
287,1287,HR,33153,4217.91,1.02
288,1288,Compliance,51791,6212.78,1.18
289,1289,Sales,37537,5087.44,1.09
290,1290,Customer Support,115828,12705.5,1.27
291,1291,Technology,104975,13866.91,1.04
292,1292,Sales,44435,7712.03,0.91
293,1293,Finance,114833,17229.91,1.06
294,1294,HR,31439,5029.93,0.72
295,1295,Finance,29162,1922.91,0.73
296,1296,Compliance,55358,3627.3,0.98
297,1297,HR,104649,17563.77,1.23
298,1298,Operations,35753,6494.14,1.18
299,1299,Sales,69009,6214.46,0.74
300,1300,Operations,45988,7728.52,0.75
301,1301,Operations,58766,10832.09,0.82
302,1302,Compliance,34298,5521.7,1.04
303,1303,Finance,133740,21495.03,1.23
304,1304,Operations,128106,9265.71,0.85
305,1305,Compliance,26498,4127.78,0.83
306,1306,Operations,140484,13836.91,0.97
307,1307,Technology,188481,12006.87,0.83
308,1308,Customer Support,36820,6239.86,1.05
309,1309,Customer Support,38138,2126.91,1.03
310,1310,Compliance,88688,13900.76,1.13
311,1311,Compliance,112986,8418.93,0.92
312,1312,Operations,149796,28217.59,1.14
313,1313,Compliance,178283,16944.66,1.25
314,1314,Sales,172992,30318.3,0.81
315,1315,Sales,105278,6275.44,0.92
316,1316,Technology,69511,11795.75,0.89
317,1317,Customer Support,64807,10089.94,0.78
318,1318,Finance,180845,10621.04,0.74
319,1319,Technology,39076,5762.29,1.15
320,1320,Sales,65556,12557.23,0.91
321,1321,Compliance,51740,7669.03,0.93
322,1322,Customer Support,60348,4240.35,0.89
323,1323,HR,118171,18827.61,1.13
324,1324,HR,39167,4367.38,0.89
325,1325,Operations,37474,4787.8,1.21
326,1326,Compliance,171156,25512.23,1.14
327,1327,Sales,31584,4277.87,1.05
328,1328,Technology,57656,10249.13,1.18
329,1329,Customer Support,161299,16231.61,1.26
330,1330,Customer Support,44467,2468.36,0.73
331,1331,Compliance,57966,7132.14,0.99
332,1332,Finance,127947,9184.55,1.05
333,1333,Sales,139489,25708.71,1.21
334,1334,Sales,39166,2981.21,0.79
335,1335,Sales,94477,12209.32,0.72
336,1336,Finance,95653,8984.92,0.71
337,1337,Sales,139954,15722.88,0.91
338,1338,Customer Support,33836,5592.23,0.75
339,1339,Customer Support,144988,26564.99,0.93
340,1340,Finance,43174,7421.97,1.01
341,1341,Finance,26113,2771.05,0.97
342,1342,Sales,92353,14626.67,0.94
343,1343,HR,108442,5845.81,1.15
344,1344,Customer Support,29635,5444.22,0.96
345,1345,Technology,127756,9888.08,1.12
346,1346,Operations,104137,13347.98,0.84
347,1347,Sales,88984,15288.72,1.28
348,1348,Finance,153849,25745.65,0.8
349,1349,HR,163350,17787.84,1.06
350,1350,Technology,54258,9322.49,1.05
351,1351,Technology,139899,12205.97,0.77
352,1352,Finance,49660,9005.51,0.82
353,1353,Customer Support,48068,5682.7,0.91
354,1354,Technology,83063,12638.26,0.82
355,1355,Customer Support,28378,5058.94,0.82
356,1356,Sales,80776,10141.52,0.9
357,1357,Finance,38684,3026.52,1.22
358,1358,Technology,58761,4493.37,1.15
359,1359,Operations,169124,10298.19,1.26
360,1360,Operations,104240,20012.34,1.24
361,1361,Technology,70770,4169.62,1.18
362,1362,Operations,42901,4535.52,0.96
363,1363,Sales,68783,7536.25,0.98
364,1364,Sales,142250,19424.42,0.94
365,1365,Sales,68606,8196.53,1.14
366,1366,Sales,46540,5474.07,0.85
367,1367,Technology,28620,2349.44,0.81
368,1368,Finance,97978,15348.04,0.75
369,1369,Operations,59305,7492.97,1.1
370,1370,Customer Support,194596,27956.5,1.11
371,1371,Finance,36382,2281.62,1.02
372,1372,Operations,182837,29801.06,1.23
373,1373,Compliance,30231,5398.48,1.29
374,1374,Sales,25190,2248.38,1.07
375,1375,Compliance,130138,13789.94,1.02
376,1376,Compliance,53832,6776.92,1.01
377,1377,Compliance,99987,9904.94,0.72
378,1378,Sales,67270,5985.77,1.13
379,1379,Finance,188060,34224.03,1.28
380,1380,Finance,41181,5631.92,1.18
381,1381,Finance,38617,3461.71,1.14
382,1382,HR,29652,3517.05,0.74
383,1383,Sales,117616,18612.13,1.0
384,1384,Sales,69999,11611.69,1.12
385,1385,Compliance,97161,17771.67,1.23
386,1386,Operations,43041,2211.34,1.21
387,1387,Finance,53652,8090.24,0.7
388,1388,Compliance,63683,3680.55,0.99
389,1389,Customer Support,29301,2536.2,0.76
390,1390,HR,28273,3928.9,1.1
391,1391,HR,34110,6662.77,1.04
392,1392,Finance,160436,27716.18,1.25
393,1393,Finance,38265,2135.61,1.17
394,1394,Technology,53004,4861.45,1.22
395,1395,HR,150693,23270.96,1.09
396,1396,Compliance,78943,14445.96,1.07
397,1397,Technology,61413,4772.22,0.7
398,1398,Sales,169824,21643.91,1.09
399,1399,Technology,110632,21243.73,0.97
400,1400,Compliance,32093,2877.35,0.87
401,1401,Technology,34991,2045.59,1.21
402,1402,Operations,103708,6910.24,0.86
403,1403,Compliance,162802,17833.8,0.78
404,1404,Customer Support,44130,5869.24,1.0
405,1405,Technology,31801,3321.02,1.0
406,1406,Finance,41221,4302.0,1.01
407,1407,Compliance,112855,13821.46,0.92
408,1408,HR,82040,14519.99,1.08
409,1409,Technology,65316,12576.26,1.23
410,1410,Technology,183362,28864.41,1.12
411,1411,Sales,54662,2892.78,0.73
412,1412,Operations,81638,14437.72,0.71
413,1413,Technology,63500,11319.88,0.77
414,1414,Sales,39199,7667.49,1.05
415,1415,Finance,40556,7699.78,0.82
416,1416,Customer Support,36076,7024.76,0.97
417,1417,Operations,61459,7346.36,0.93
418,1418,HR,38569,6221.05,0.76
419,1419,Finance,86194,8311.59,1.16
420,1420,Compliance,153338,9977.32,0.76
421,1421,Sales,47200,6738.93,1.24
422,1422,Operations,31829,5064.34,1.13
423,1423,Compliance,31877,5158.34,1.17
424,1424,HR,131713,24694.85,1.23
425,1425,Compliance,63296,7168.39,1.14
426,1426,Customer Support,82306,5490.54,0.7
427,1427,Technology,33035,5075.13,1.08
428,1428,Sales,49172,2578.59,0.98
429,1429,Compliance,61864,3867.46,1.14
430,1430,Sales,117812,16404.18,1.19
431,1431,Customer Support,194704,14372.43,1.13
432,1432,Technology,197695,24470.56,1.14
433,1433,Finance,172909,33526.67,1.09
434,1434,Compliance,65757,7652.67,1.25
435,1435,HR,58002,9418.91,0.74
436,1436,Compliance,27607,5360.58,1.08
437,1437,Operations,190322,15929.32,0.78
438,1438,Customer Support,147220,26206.6,0.91
439,1439,Technology,158182,12658.44,1.12
440,1440,Technology,35293,2899.38,1.0
441,1441,Customer Support,72290,8161.63,1.06
442,1442,Technology,74141,13994.74,0.79
443,1443,Finance,78119,9472.44,0.71
444,1444,HR,101990,9882.09,0.71
445,1445,Operations,156442,19098.84,0.97
446,1446,Technology,68814,13717.17,0.88
447,1447,Sales,72524,11711.64,1.2
448,1448,Customer Support,36328,3457.05,0.97
449,1449,Sales,112525,8938.53,1.29
450,1450,Compliance,55513,7454.53,1.11
451,1451,Finance,41391,5971.04,1.18
452,1452,Compliance,197894,27944.57,1.04
453,1453,Compliance,38207,4213.42,1.0
454,1454,Sales,35775,5508.7,1.0
455,1455,Customer Support,73985,11953.46,0.79
456,1456,HR,55202,5453.66,0.92
457,1457,Operations,39859,6287.8,0.79
458,1458,Technology,124543,13410.26,0.89
459,1459,Technology,185292,31980.97,1.23
460,1460,Compliance,34796,1740.5,0.94
461,1461,Sales,32167,5146.05,1.11
462,1462,Compliance,172513,13533.83,0.85
463,1463,Operations,71136,9958.94,0.79
464,1464,Compliance,146818,14371.1,0.85
465,1465,Finance,97176,10500.54,1.03
466,1466,Technology,47878,7510.89,0.88
467,1467,HR,84228,15747.04,0.97
468,1468,Customer Support,108023,10754.32,0.77
469,1469,Finance,172495,14189.56,1.27
470,1470,Finance,52323,6742.31,1.04
471,1471,Technology,34899,2879.83,0.82
472,1472,Finance,116344,21658.46,0.78
473,1473,Finance,26915,4932.33,1.21
474,1474,Technology,25885,5157.95,1.2
475,1475,Technology,176975,22062.25,0.98
476,1476,Customer Support,48905,6437.7,1.23
477,1477,Technology,33984,5646.72,1.28
478,1478,Technology,122711,21589.14,0.73
479,1479,Technology,190853,14355.88,1.15
480,1480,Technology,34306,1748.44,1.11
481,1481,Operations,71474,12062.77,0.86
482,1482,Technology,81703,16025.82,1.19
483,1483,Compliance,130203,14471.28,0.7
484,1484,HR,29616,5643.62,1.13
485,1485,Operations,139515,11124.14,0.75
486,1486,Finance,160389,20159.63,1.05
487,1487,Technology,169539,27168.1,1.23
488,1488,Compliance,27951,4557.69,0.91
489,1489,Compliance,105974,19265.38,1.04
490,1490,HR,121235,9760.56,0.76
491,1491,Customer Support,111444,9432.58,1.01
492,1492,Technology,46941,6365.68,0.91
493,1493,Compliance,193038,12346.27,0.76
494,1494,Customer Support,58044,3945.87,0.79
495,1495,Finance,67473,6475.74,1.08
496,1496,Operations,58000,10065.11,1.05
497,1497,Finance,25393,3230.88,0.88
498,1498,Customer Support,88416,9305.03,1.06
499,1499,Technology,171441,18350.17,0.93
500,1500,Sales,155398,29725.92,1.09
501,1501,Sales,98858,19676.78,0.72
502,1502,Sales,47056,8715.16,1.17
503,1503,Sales,93840,15797.31,0.99
504,1504,Operations,26482,2221.55,1.24
505,1505,Compliance,43497,3201.18,1.07
506,1506,Customer Support,45165,7016.69,1.21
507,1507,Technology,106631,8763.49,0.91
508,1508,Sales,26492,3645.73,1.19
509,1509,Compliance,161207,11643.34,0.75
510,1510,Compliance,32265,6374.83,1.03
511,1511,HR,78501,5992.16,0.94
512,1512,HR,32296,5556.26,1.05
513,1513,Technology,63553,8695.32,1.28
514,1514,HR,87414,6757.19,0.95
515,1515,Customer Support,118698,20083.04,0.89
516,1516,Technology,157538,8359.66,1.1
517,1517,HR,76298,14699.59,1.05
518,1518,HR,160248,27351.72,0.98
519,1519,Sales,46757,8514.65,0.99
520,1520,Customer Support,111090,14171.91,1.26
521,1521,Technology,188221,25806.17,1.29
522,1522,Compliance,27596,2701.97,1.3
523,1523,Finance,30492,1927.8,0.8
524,1524,Customer Support,28917,4202.99,0.95
525,1525,Operations,159965,26637.66,0.72
526,1526,Sales,26489,1775.43,1.07
527,1527,Customer Support,38945,5075.06,1.13
528,1528,HR,197520,30128.58,1.12
529,1529,Finance,34079,1983.33,1.04
530,1530,Finance,134144,15918.86,1.17
531,1531,HR,33325,4110.39,1.3
532,1532,Customer Support,40459,2778.3,1.25
533,1533,Compliance,144232,15409.12,1.22
534,1534,HR,42750,4496.64,0.91
535,1535,Technology,141105,11492.56,1.17
536,1536,Technology,191810,36548.73,0.72
537,1537,Customer Support,32830,3123.4,0.97
538,1538,Sales,31818,6153.22,0.88
539,1539,Technology,72736,5762.33,0.99
540,1540,Sales,25615,4772.55,0.85
541,1541,Customer Support,62685,5415.93,1.27
542,1542,Technology,67461,8189.09,1.3
543,1543,HR,178932,26783.58,1.2
544,1544,Finance,86778,16031.28,0.97
545,1545,Sales,99702,7019.87,0.85
546,1546,Operations,43773,4093.9,1.22
547,1547,Customer Support,50565,9746.39,1.01
548,1548,Technology,39303,2960.49,0.9
549,1549,HR,32088,3018.93,1.08
550,1550,Technology,197945,39262.21,1.3
551,1551,Customer Support,63815,5130.31,0.85
552,1552,Customer Support,36699,3408.34,0.87
553,1553,Operations,86300,8916.41,0.82
554,1554,Compliance,131729,21379.7,0.9
555,1555,Operations,87223,5954.72,0.89
556,1556,Operations,154382,14213.17,0.78
557,1557,Compliance,39263,4365.4,0.71
558,1558,HR,188396,11864.22,1.27
559,1559,Technology,185734,34743.25,1.0
560,1560,Technology,36943,6109.49,0.78
561,1561,Sales,195448,16182.41,1.23
562,1562,Operations,37640,5551.77,1.11
563,1563,Sales,53794,3921.78,0.94
564,1564,Technology,38347,1977.83,1.23
565,1565,Customer Support,26980,3407.79,0.85
566,1566,HR,174971,17823.95,0.9
567,1567,Finance,46866,3108.37,0.9
568,1568,Operations,54718,4132.66,1.02
569,1569,Technology,35171,2314.55,1.07
570,1570,Finance,29368,3681.24,1.0
571,1571,Sales,57051,8411.56,0.76
572,1572,Compliance,42896,3044.06,0.86
573,1573,Compliance,127768,11205.86,0.76
574,1574,Finance,154468,23398.11,1.19
575,1575,Customer Support,127904,19258.92,1.22
576,1576,Technology,115701,9004.84,0.82
577,1577,Sales,27699,2761.05,1.21
578,1578,Customer Support,115189,15290.86,0.85
579,1579,Customer Support,53960,6454.19,0.96
580,1580,Compliance,28859,2259.92,0.94
581,1581,Technology,53185,5606.31,1.09
582,1582,Finance,81381,12163.27,0.8
583,1583,Technology,90119,16727.07,0.92
584,1584,Technology,47035,4043.64,0.72
585,1585,Finance,93782,5651.29,0.81
586,1586,Compliance,39920,6703.95,0.95
587,1587,Customer Support,99229,13150.09,1.06
588,1588,Compliance,52556,7310.4,1.21
589,1589,Finance,29886,4852.2,1.04
590,1590,Finance,195354,30207.05,1.14
591,1591,Customer Support,186029,34236.06,1.15
592,1592,Finance,60671,3922.68,0.78
593,1593,Technology,78592,4801.5,0.9
594,1594,Compliance,181921,31194.26,0.94
595,1595,Finance,111191,9905.12,1.07
596,1596,Technology,54419,9118.18,1.01
597,1597,Compliance,62193,12243.29,0.71
598,1598,HR,124602,13984.65,0.81
599,1599,Operations,92883,9236.47,1.22
600,1600,Finance,60176,8079.03,0.76
601,1601,Technology,45202,2399.34,1.23
602,1602,HR,85491,12726.69,0.91
603,1603,Compliance,98022,10510.69,0.74
604,1604,Operations,48023,6928.74,1.26
605,1605,HR,25285,2280.72,0.96
606,1606,HR,28195,5228.01,1.05
607,1607,HR,92333,7842.52,0.75
608,1608,HR,37788,6976.03,0.74
609,1609,HR,109253,12286.52,1.03
610,1610,Sales,139975,19644.27,0.92
611,1611,Operations,113373,16950.95,1.16
612,1612,Customer Support,113938,13809.75,0.94
613,1613,HR,47977,6979.42,0.72
614,1614,Customer Support,26833,1922.6,1.02
615,1615,Customer Support,26918,4868.8,1.24
616,1616,Finance,26250,4032.24,1.11
617,1617,Finance,33228,6535.01,1.0
618,1618,Customer Support,46753,6728.76,1.3
619,1619,Finance,107994,7701.81,1.12
620,1620,Customer Support,45159,3459.0,0.95
621,1621,Sales,132321,7625.57,0.92
622,1622,Customer Support,171769,20655.5,1.17
623,1623,Customer Support,128099,13261.21,1.05
624,1624,Sales,43357,2965.92,1.1
625,1625,Technology,25812,2448.54,1.16
626,1626,Finance,130382,8820.99,0.79
627,1627,Technology,123807,24126.36,1.0
628,1628,HR,30515,4452.97,1.27
629,1629,Sales,35047,2883.71,1.25
630,1630,Operations,50099,6196.93,1.16
631,1631,HR,75593,7414.08,0.92
632,1632,Compliance,44181,7331.95,1.02
633,1633,Compliance,30588,3693.98,1.09
634,1634,Technology,48095,4299.08,0.84
635,1635,Operations,64379,3524.39,0.89
636,1636,Compliance,149512,11018.89,1.28
637,1637,Finance,142485,26136.3,1.12
638,1638,Technology,36816,5814.55,0.96
639,1639,Customer Support,38888,2488.61,1.24
640,1640,HR,106196,15571.1,1.02
641,1641,Compliance,124456,6440.14,1.14
642,1642,Operations,145251,26905.48,1.02
643,1643,Sales,133646,16258.62,0.71
644,1644,Operations,36247,5805.13,1.27
645,1645,Sales,89369,17177.85,0.87
646,1646,HR,47357,2734.17,1.14
647,1647,HR,112934,11003.11,1.02
648,1648,Operations,61107,10150.14,0.94
649,1649,Customer Support,52373,6997.92,1.11
650,1650,Finance,171486,25184.63,0.81
651,1651,Customer Support,61891,8388.96,0.79
652,1652,Compliance,61013,9643.8,1.0
653,1653,Customer Support,39285,2795.94,1.02
654,1654,Operations,63089,6628.92,0.82
